final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
29.87 \scriptsize $\pm$ 0.97,57.31 \scriptsize $\pm$ 1.13,43.59 \scriptsize $\pm$ 0.52,most_family_en_25,masakha_unseen_pos,"[42, 66, 17, 23]","[44.36091577294589, 43.41205160777851, 43.32309408452418, 43.26354914607547]",0.9081558923030106,0.06996835165365618,0.9681762037740059
28.57 \scriptsize $\pm$ 2.50,55.72 \scriptsize $\pm$ 0.80,42.14 \scriptsize $\pm$ 1.59,most_family_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[43.44825176754919, 40.73974975002165, 40.79805210605009, 43.57996550409729]",0.09481092210045176,0.4837301933778451,0.19284475201122958
29.86 \scriptsize $\pm$ 1.06,56.15 \scriptsize $\pm$ 0.38,43.01 \scriptsize $\pm$ 0.60,most_same_script_10,masakha_unseen_pos,"[42, 66, 17, 23]","[43.38692415000377, 43.574223556297824, 42.2458928672298, 42.823140273591946]",0.3597919549909515,0.16027463573953746,0.333570522385357
30.06 \scriptsize $\pm$ 1.23,57.62 \scriptsize $\pm$ 0.65,43.84 \scriptsize $\pm$ 0.85,most_same_script_20,masakha_unseen_pos,"[42, 66, 17, 23]","[44.42245762883963, 44.647156929654955, 42.83610691459994, 43.46035281361707]",0.826192936587413,0.09359053832985073,0.6540450419088251
30.06 \scriptsize $\pm$ 0.44,57.35 \scriptsize $\pm$ 0.16,43.70 \scriptsize $\pm$ 0.25,most_same_script_41,masakha_unseen_pos,"[42, 66, 17, 23]","[43.90708621818172, 43.909331580097906, 43.38636713029813, 43.60637011047958]",0.950277046991181,0.05028668448870323,0.7856054969595314
32.07 \scriptsize $\pm$ 1.36,56.37 \scriptsize $\pm$ 0.57,44.22 \scriptsize $\pm$ 0.95,most_same_script_5,masakha_unseen_pos,"[42, 66, 17, 23]","[44.73853120550413, 43.079806096363555, 43.84859518838097, 45.22167900818778]",0.21384887906848285,0.024309853699933204,0.379348343338614
30.30 \scriptsize $\pm$ 1.06,56.14 \scriptsize $\pm$ 0.39,43.22 \scriptsize $\pm$ 0.63,most_uriel_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[42.54241818478721, 42.968214921721845, 43.35180382352152, 44.01686050760388]",0.17066222718619986,0.021285582470295036,0.44995158168076227
29.95 \scriptsize $\pm$ 1.47,56.78 \scriptsize $\pm$ 0.31,43.36 \scriptsize $\pm$ 0.72,most_uriel_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[43.13833133228715, 44.06048231583776, 42.44871285168251, 43.808744335142]",0.5675681415605751,0.0963502360398879,0.4530188455481512
28.45 \scriptsize $\pm$ 0.77,57.00 \scriptsize $\pm$ 0.94,42.73 \scriptsize $\pm$ 0.29,most_uriel_en_40,masakha_unseen_pos,"[42, 66, 17, 23]","[42.816901436850145, 42.99322247803441, 42.311839751616596, 42.78268955297768]",0.1412676858927489,0.1533247178216217,0.13438973229643336
30.35 \scriptsize $\pm$ 1.24,56.22 \scriptsize $\pm$ 0.94,43.28 \scriptsize $\pm$ 0.80,most_uriel_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[44.143483652944305, 42.793770536455995, 42.44066541120354, 43.75109333570534]",0.48288130238983257,0.10768443472975829,0.666602818893524
27.11 \scriptsize $\pm$ 2.44,57.55 \scriptsize $\pm$ 0.77,42.33 \scriptsize $\pm$ 1.32,random_langs_with_seed_10,masakha_unseen_pos,"[42, 66, 17, 23]","[40.64211935433703, 42.13622155624061, 42.74480969254327, 43.79899162942328]",0.054589964425170875,0.09368591167936545,0.10495715545734505
28.42 \scriptsize $\pm$ 2.50,57.44 \scriptsize $\pm$ 0.75,42.93 \scriptsize $\pm$ 1.43,random_langs_with_seed_20,masakha_unseen_pos,"[42, 66, 17, 23]","[44.6703562422948, 42.771711187867886, 41.187674607854525, 43.09752918876874]",0.44099383392963604,0.28303304982431327,0.5031146152458377
28.30 \scriptsize $\pm$ 1.65,58.14 \scriptsize $\pm$ 0.37,43.22 \scriptsize $\pm$ 0.71,random_langs_with_seed_40,masakha_unseen_pos,"[42, 66, 17, 23]","[43.346859058416484, 44.02011729056282, 42.28526411462009, 43.22541219962307]",0.5080469385397642,0.13431322960268668,0.4497818153166416
25.45 \scriptsize $\pm$ 4.57,56.48 \scriptsize $\pm$ 0.83,40.97 \scriptsize $\pm$ 2.60,random_langs_with_seed_5,masakha_unseen_pos,"[42, 66, 17, 23]","[42.13305046862101, 41.23392740703157, 43.233476563131234, 37.263255823171136]",0.218076901726144,0.8486189954491742,0.2322503184068236
29.97 \scriptsize $\pm$ 0.87,57.37 \scriptsize $\pm$ 1.11,43.67 \scriptsize $\pm$ 0.92,xt_afri,masakha_unseen_pos,"[42, 66, 17, 23]","[43.20402977220277, 43.14455324599975, 43.26867394340599, 45.052488323325896]",-1.0,0.026470493504033677,0.7986323893495845
25.33 \scriptsize $\pm$ 2.58,57.24 \scriptsize $\pm$ 0.37,41.29 \scriptsize $\pm$ 1.27,xt_only,masakha_unseen_pos,"[42, 66, 17, 23]","[40.12655098842444, 40.27471931031699, 42.63045034240257, 42.11146244439921]",0.026470493504033677,-1.0,0.0672694512158035
