final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
36.37 \scriptsize $\pm$ 0.69,38.23 \scriptsize $\pm$ 0.50,39.83 \scriptsize $\pm$ 0.67,40.03 \scriptsize $\pm$ 0.71,36.73 \scriptsize $\pm$ 1.19,40.51 \scriptsize $\pm$ 1.20,37.27 \scriptsize $\pm$ 1.49,36.50 \scriptsize $\pm$ 0.57,42.97 \scriptsize $\pm$ 1.97,35.67 \scriptsize $\pm$ 0.93,38.41 \scriptsize $\pm$ 0.43,baseline,americasnli,"[42, 66, 17, 23]","[38.09937886758546, 38.98357520687506, 38.514806022926535, 38.047952407866326]",0.008403999604628842,0.0047965991102800806,0.00810248561990096
35.80 \scriptsize $\pm$ 0.56,39.60 \scriptsize $\pm$ 0.63,38.93 \scriptsize $\pm$ 0.34,40.23 \scriptsize $\pm$ 0.85,37.73 \scriptsize $\pm$ 0.75,42.99 \scriptsize $\pm$ 1.58,38.60 \scriptsize $\pm$ 0.78,37.87 \scriptsize $\pm$ 1.21,42.40 \scriptsize $\pm$ 1.56,35.27 \scriptsize $\pm$ 1.55,38.94 \scriptsize $\pm$ 0.57,least_family_en_10,americasnli,"[42, 66, 17, 23]","[38.2228448038491, 39.56253380287813, 38.82497427648073, 39.159278871933104]",0.017072544019991396,0.07953979893726118,0.05965360723604059
38.07 \scriptsize $\pm$ 1.01,40.00 \scriptsize $\pm$ 0.81,41.40 \scriptsize $\pm$ 1.05,42.17 \scriptsize $\pm$ 0.74,39.27 \scriptsize $\pm$ 0.98,44.82 \scriptsize $\pm$ 1.39,39.74 \scriptsize $\pm$ 0.91,39.17 \scriptsize $\pm$ 0.99,43.87 \scriptsize $\pm$ 0.27,38.37 \scriptsize $\pm$ 0.13,40.69 \scriptsize $\pm$ 0.26,least_family_en_20,americasnli,"[42, 66, 17, 23]","[40.737741257626475, 41.01720070141878, 40.60173209860441, 40.385877135776695]",0.8395234983807207,0.05589601457777532,0.34981245986005927
36.60 \scriptsize $\pm$ 1.03,40.40 \scriptsize $\pm$ 0.73,41.10 \scriptsize $\pm$ 0.60,41.33 \scriptsize $\pm$ 0.98,38.00 \scriptsize $\pm$ 0.52,43.87 \scriptsize $\pm$ 1.09,37.93 \scriptsize $\pm$ 0.44,37.87 \scriptsize $\pm$ 0.42,42.70 \scriptsize $\pm$ 0.33,37.23 \scriptsize $\pm$ 0.60,39.70 \scriptsize $\pm$ 0.38,least_family_en_5,americasnli,"[42, 66, 17, 23]","[40.21572453371592, 39.4521843977798, 39.372006144660375, 39.77464052287581]",0.0888667121959117,0.5063969635878347,0.14755998778986937
36.43 \scriptsize $\pm$ 0.85,39.83 \scriptsize $\pm$ 1.11,40.87 \scriptsize $\pm$ 1.11,41.13 \scriptsize $\pm$ 1.33,38.23 \scriptsize $\pm$ 0.81,44.17 \scriptsize $\pm$ 0.46,39.24 \scriptsize $\pm$ 1.09,37.67 \scriptsize $\pm$ 0.73,42.43 \scriptsize $\pm$ 1.20,35.67 \scriptsize $\pm$ 0.40,39.57 \scriptsize $\pm$ 0.49,least_same_script_10,americasnli,"[42, 66, 17, 23]","[39.307757054041126, 39.92090633740562, 39.015216729707404, 40.027350405054854]",0.026078473277601613,0.42428236582219986,0.1723503901528658
37.03 \scriptsize $\pm$ 0.95,41.20 \scriptsize $\pm$ 1.87,39.77 \scriptsize $\pm$ 1.80,40.37 \scriptsize $\pm$ 1.04,37.20 \scriptsize $\pm$ 0.71,42.82 \scriptsize $\pm$ 1.35,47.03 \scriptsize $\pm$ 0.50,38.53 \scriptsize $\pm$ 0.63,44.17 \scriptsize $\pm$ 1.22,38.73 \scriptsize $\pm$ 1.59,40.68 \scriptsize $\pm$ 0.71,least_same_script_20,americasnli,"[42, 66, 17, 23]","[39.70508789472922, 41.33659551034013, 40.666679709577835, 41.029168586873034]",0.8777495472803447,0.24024394157352513,0.6743755631357058
36.13 \scriptsize $\pm$ 0.79,40.13 \scriptsize $\pm$ 0.46,40.50 \scriptsize $\pm$ 1.28,42.60 \scriptsize $\pm$ 1.14,38.27 \scriptsize $\pm$ 1.40,43.87 \scriptsize $\pm$ 0.89,38.40 \scriptsize $\pm$ 0.72,37.10 \scriptsize $\pm$ 0.76,43.43 \scriptsize $\pm$ 1.09,37.10 \scriptsize $\pm$ 1.09,39.75 \scriptsize $\pm$ 0.50,least_same_script_5,americasnli,"[42, 66, 17, 23]","[40.12029737837484, 39.135219628132106, 40.200763734910076, 39.55877396634929]",0.20990321052663538,0.4803392325697762,0.2363166553140879
36.03 \scriptsize $\pm$ 0.60,40.20 \scriptsize $\pm$ 0.68,38.77 \scriptsize $\pm$ 0.13,41.73 \scriptsize $\pm$ 1.45,37.50 \scriptsize $\pm$ 0.65,43.77 \scriptsize $\pm$ 0.66,38.67 \scriptsize $\pm$ 0.74,36.80 \scriptsize $\pm$ 0.76,41.73 \scriptsize $\pm$ 0.81,35.53 \scriptsize $\pm$ 0.28,39.07 \scriptsize $\pm$ 0.37,least_uriel_en_10,americasnli,"[42, 66, 17, 23]","[38.692184397779805, 39.29481587757054, 39.48116168862224, 38.82652754228077]",0.041624062713363906,0.014171982350280466,0.043400751288460084
36.33 \scriptsize $\pm$ 0.40,39.70 \scriptsize $\pm$ 1.53,41.00 \scriptsize $\pm$ 1.09,41.10 \scriptsize $\pm$ 1.06,38.23 \scriptsize $\pm$ 0.89,43.63 \scriptsize $\pm$ 0.82,38.20 \scriptsize $\pm$ 0.57,37.67 \scriptsize $\pm$ 0.73,41.60 \scriptsize $\pm$ 0.38,36.00 \scriptsize $\pm$ 0.64,39.35 \scriptsize $\pm$ 0.33,least_uriel_en_20,americasnli,"[42, 66, 17, 23]","[38.89131718910771, 39.33380896482761, 39.53402866542034, 39.62750170282451]",0.06327335316718773,0.15110563262157728,0.12192159599920456
36.60 \scriptsize $\pm$ 0.59,38.83 \scriptsize $\pm$ 1.00,40.50 \scriptsize $\pm$ 0.82,38.83 \scriptsize $\pm$ 0.71,37.00 \scriptsize $\pm$ 0.32,41.16 \scriptsize $\pm$ 0.75,39.94 \scriptsize $\pm$ 0.95,36.93 \scriptsize $\pm$ 0.83,42.03 \scriptsize $\pm$ 0.95,36.67 \scriptsize $\pm$ 1.10,38.85 \scriptsize $\pm$ 0.60,least_uriel_en_40,americasnli,"[42, 66, 17, 23]","[38.26222714954423, 39.6118490500413, 38.50276480732721, 39.0225094561106]",0.007453402740059672,0.0746966781006071,0.043302461945454354
