final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
69.69 \scriptsize $\pm$ 4.35,81.39 \scriptsize $\pm$ 1.25,75.54 \scriptsize $\pm$ 2.80,abla_most_script_joshi45,masakha_unseen_ner,"[42, 66, 17, 23]","[74.88016878293705, 75.3300347294263, 72.61350603528962, 79.33722612971494]",0.696254379368753,0.592444230902636,0.11942707188439024
67.40 \scriptsize $\pm$ 20.03,77.75 \scriptsize $\pm$ 1.16,72.57 \scriptsize $\pm$ 10.38,abla_most_script_seen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[75.08670974129862, 57.54727461028811, 76.28087380297016, 81.38425090252707]",0.5913377873265038,0.8244751562400474,0.517620207596099
67.40 \scriptsize $\pm$ 20.03,77.75 \scriptsize $\pm$ 1.16,72.57 \scriptsize $\pm$ 10.38,abla_most_script_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[75.08670974129862, 57.54727461028811, 76.28087380297016, 81.38425090252707]",0.5913377873265038,0.8244751562400474,0.517620207596099
42.15 \scriptsize $\pm$ 10.89,70.82 \scriptsize $\pm$ 3.23,56.48 \scriptsize $\pm$ 7.00,abla_most_uriel_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[48.93550648712948, 61.91699546085361, 52.13213232683698, 62.94333905049079]",0.06198391127526503,0.035705721415433204,0.02851107603239189
62.44 \scriptsize $\pm$ 14.50,79.45 \scriptsize $\pm$ 2.52,70.94 \scriptsize $\pm$ 6.68,abla_most_uriel_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[78.17547322157213, 70.67117238612944, 72.82115209944166, 62.11128083922338]",0.5798631222018737,0.21807566843287787,0.581463083575746
67.55 \scriptsize $\pm$ 10.76,80.22 \scriptsize $\pm$ 6.71,73.89 \scriptsize $\pm$ 8.49,abla_most_uriel_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[78.49337051790991, 77.64208029609344, 61.166983069836924, 78.24483553951063]",0.9961475015679824,0.9825320465216377,0.36205358709790336
71.21 \scriptsize $\pm$ 3.10,79.84 \scriptsize $\pm$ 0.77,75.52 \scriptsize $\pm$ 1.37,abla_most_uriel_joshi45,masakha_unseen_ner,"[42, 66, 17, 23]","[76.87603162417989, 74.58570779792615, 76.50083884301331, 74.12982500426482]",0.6490024483126332,0.30210561279871245,0.14114236684870513
71.46 \scriptsize $\pm$ 11.29,79.16 \scriptsize $\pm$ 1.63,75.31 \scriptsize $\pm$ 5.04,abla_most_uriel_seen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[76.68235571093314, 78.40772698037263, 78.29820912347677, 67.84271823173853]",0.7959240069535225,0.5595358571824962,0.1664215115695537
71.62 \scriptsize $\pm$ 6.51,81.73 \scriptsize $\pm$ 0.74,76.67 \scriptsize $\pm$ 3.53,abla_most_uriel_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[77.22994931786012, 74.41933534586497, 81.43526154842755, 73.61438320400569]",0.41067592878095865,0.29355803749681836,0.11822181130291416
68.08 \scriptsize $\pm$ 7.28,76.03 \scriptsize $\pm$ 3.90,72.05 \scriptsize $\pm$ 5.05,abla_most_uriel_unseen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[70.31634409680439, 70.73078038046762, 79.37066458497587, 67.79781088196376]",0.6302798155232243,0.5669771800083901,0.3089843322772344
59.41 \scriptsize $\pm$ 8.02,79.60 \scriptsize $\pm$ 1.90,69.50 \scriptsize $\pm$ 4.13,abla_most_uriel_unseen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[63.42945016160191, 71.12455248258341, 70.82040489231917, 72.64419685464128]",0.3723121101573877,0.30567543482300413,0.31477772246394403
57.92 \scriptsize $\pm$ 18.17,74.78 \scriptsize $\pm$ 6.54,66.35 \scriptsize $\pm$ 12.28,abla_random_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[49.371661629574305, 77.44209937249586, 65.85203656444942, 72.72767628670623]",0.4331149563770154,0.3813993289714434,0.824433268970902
46.76 \scriptsize $\pm$ 18.10,76.33 \scriptsize $\pm$ 7.29,61.55 \scriptsize $\pm$ 12.04,abla_random_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[75.47224325813427, 49.42724254348959, 53.83830328367705, 67.44426347796819]",0.09827249223688495,0.11318680062521269,0.6073323138729646
68.91 \scriptsize $\pm$ 11.71,80.70 \scriptsize $\pm$ 4.69,74.80 \scriptsize $\pm$ 6.31,abla_random_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[66.05173796976361, 80.38781144676358, 74.56469926138014, 78.21010323157716]",0.8863001898176894,0.8685570034821045,0.007196445271177506
